dates,Unnamed: 0,time,Hs,Hz,Tz,Ts,water_level,depth
2022-10-06 19:07:30.124540,0,2022-10-06 19:07:30.124540,0.2445944194832416,0.1479743317214535,6.111646313992865,7.649032991065247,4.864326076349557,4.864326076349557
2022-10-06 19:22:46.143129,1,2022-10-06 19:22:46.143129,0.2459354321410115,0.160147960514404,6.059188196047614,7.338181222919804,4.857782887821358,4.857782887821358
2022-10-06 19:38:02.161718,2,2022-10-06 19:38:02.161718,0.2293322097459479,0.1258735109634332,5.01428886498209,7.147201772745039,4.827259026760538,4.827259026760538
2022-10-06 19:53:18.180307,3,2022-10-06 19:53:18.180307,0.2341096295124921,0.1418710753951644,5.90708507619121,7.338022874242842,4.772917848788509,4.772917848788509
2022-10-06 20:08:34.198896,4,2022-10-06 20:08:34.198896,0.2491315808002424,0.1431754626636597,5.252099925606328,6.602090583880808,4.7107914948418,4.7107914948418
2022-10-06 20:23:50.217485,5,2022-10-06 20:23:50.217485,0.2491293800210262,0.1418798758195484,5.532854843279199,7.429312942740704,4.635520919223596,4.635520919223596
2022-10-06 20:39:06.236074,6,2022-10-06 20:39:06.236074,0.2440409097788874,0.1439601427444092,5.576808275756021,7.595412239815692,4.546678903096399,4.546678903096399
2022-10-06 20:54:22.254663,7,2022-10-06 20:54:22.254663,0.2212097858290772,0.1364117272929802,5.8104567335360775,7.497120664140155,4.449280064226946,4.449280064226946
2022-10-06 21:09:38.273252,8,2022-10-06 21:09:38.273252,0.2332385134488645,0.1408473038386869,5.913113884029222,7.419657780559594,4.33665493290899,4.33665493290899
2022-10-06 21:24:54.291841,9,2022-10-06 21:24:54.291841,0.2415853128102939,0.1537799529947784,6.28503341088881,7.528783041156525,4.218818514341296,4.218818514341296
2022-10-06 21:40:10.310430,10,2022-10-06 21:40:10.310430,0.230274893671085,0.1343661364231839,5.575105161059348,7.401219386662903,4.090809429348504,4.090809429348504
2022-10-06 21:55:26.329019,11,2022-10-06 21:55:26.329019,0.2118936051229348,0.1219363454666366,5.353706182932388,7.093810083127208,3.953542068054845,3.953542068054845
2022-10-06 22:10:42.347608,12,2022-10-06 22:10:42.347608,0.2315753495016058,0.137746622315375,5.71927566347237,7.066225859408732,3.8191774980471633,3.8191774980471633
2022-10-06 22:25:58.366197,13,2022-10-06 22:25:58.366197,0.2102555323134282,0.1251425431969506,5.438001820639201,7.129848750490419,3.67882235964928,3.67882235964928
2022-10-06 22:41:14.384786,14,2022-10-06 22:41:14.384786,0.2240594720593959,0.1261801327508352,5.28263997944766,7.011562409658336,3.541295307537714,3.541295307537714
2022-10-06 22:56:30.403375,15,2022-10-06 22:56:30.403375,0.2285699184720756,0.1365390843555433,5.578580244101426,7.420312407975926,3.403010247005484,3.403010247005484
2022-10-06 23:11:46.421964,16,2022-10-06 23:11:46.421964,0.2300015057289808,0.1341331721776282,5.310159114144935,7.45559747841423,3.271706457882108,3.271706457882108
2022-10-06 23:27:02.440553,17,2022-10-06 23:27:02.440553,0.1946512207583045,0.1165701930784577,4.912828742087195,6.843258507624539,3.144318567495591,3.144318567495591
2022-10-06 23:42:18.459142,18,2022-10-06 23:42:18.459142,0.2096177355849214,0.1311834225324051,5.562365249394704,7.216547504504523,3.0256659632217686,3.0256659632217686
2022-10-06 23:57:34.477731,19,2022-10-06 23:57:34.477731,0.2158587680822175,0.1250351420540271,5.215590552572352,6.935949803652149,2.9207281861294905,2.9207281861294905
2022-10-07 00:12:50.496320,20,2022-10-07 00:12:50.496320,0.2414768198817766,0.1380948878402714,4.971036885994205,6.74675156363015,2.8224973470978503,2.8224973470978503
2022-10-07 00:28:06.514909,21,2022-10-07 00:28:06.514909,0.2213808477935782,0.1376710798502621,5.232210389428148,6.841738776297244,2.738433217092497,2.738433217092497
2022-10-07 00:43:22.533498,22,2022-10-07 00:43:22.533498,0.2264947801275922,0.1355919975568178,5.002125414117125,6.598522334928375,2.67046561552307,2.67046561552307
2022-10-07 00:58:38.552087,23,2022-10-07 00:58:38.552087,0.2213396943222305,0.1329471020536962,5.234833717711778,7.055310764680021,2.6182062348526607,2.6182062348526607
2022-10-07 01:13:54.570676,24,2022-10-07 01:13:54.570676,0.2356667233167261,0.1381869558578524,5.354894751499861,7.38473896416963,2.578232294465601,2.578232294465601
2022-10-07 01:29:10.589265,25,2022-10-07 01:29:10.589265,0.2366560935043853,0.1458125594273367,5.475351913077087,7.177952991657879,2.561252716817442,2.561252716817442
2022-10-07 01:44:26.607854,26,2022-10-07 01:44:26.607854,0.2334573672478572,0.1410210338073836,5.367636864015188,6.944549679980679,2.553141815746932,2.553141815746932
2022-10-07 01:59:42.626443,27,2022-10-07 01:59:42.626443,0.2180771887147156,0.133549204724539,5.2315347440369,6.992006981650891,2.5666437123132657,2.5666437123132657
2022-10-07 02:14:58.645032,28,2022-10-07 02:14:58.645032,0.2275529349260144,0.1359088853117512,5.231529943428244,7.100562614000555,2.6001724177390377,2.6001724177390377
2022-10-07 02:30:14.663621,29,2022-10-07 02:30:14.663621,0.2382103163441414,0.1375028880792171,4.957097533230589,6.622992889799819,2.6445256825699825,2.6445256825699825
2022-10-07 02:45:30.682210,30,2022-10-07 02:45:30.682210,0.2314628167614036,0.1399390003581494,5.41174595284099,7.255717992503124,2.702166801482236,2.702166801482236
2022-10-07 03:00:46.700799,31,2022-10-07 03:00:46.700799,0.2299474647564533,0.1372762655564116,5.143762732859311,6.910963573111266,2.7760670586216607,2.7760670586216607
