,time,Hs,Hz,Tz,Ts,water_level
0,2022-10-06 19:07:30.000000,0.2572379282585681,0.16754762355934877,5.484977065060599,6.633223231222195,3.558657924851623
1,2022-10-06 19:22:33.805833,0.256786029194221,0.16958877465816175,5.403402241625631,6.4492965346672095,3.5554653995510437
2,2022-10-06 19:37:37.611666,0.25212893037619716,0.16597612810124895,5.342955952843025,6.214063937356025,3.530015063173405
3,2022-10-06 19:52:41.417499,0.24478958703754164,0.15808494793663347,5.391687449180029,6.6517217214186655,3.4806466272922343
4,2022-10-06 20:07:45.223332,0.2537617851638366,0.166211644645606,5.380932257851586,6.185203054908959,3.422585972023934
5,2022-10-06 20:22:49.029165,0.25484377633512934,0.15771506980095445,5.469769539097857,6.955384057312006,3.3516117762127497
6,2022-10-06 20:37:52.834998,0.24386214515535176,0.15785877371178061,5.351730931579037,6.729448862026922,3.266173776413484
7,2022-10-06 20:52:56.640831,0.22276120895301774,0.14966005361541554,5.5367980532212275,6.985684525003796,3.1691204790714824
8,2022-10-06 21:08:00.446664,0.22425910248903408,0.1491176874254791,5.752911940101261,6.8801196840018894,3.057160663366182
9,2022-10-06 21:23:04.252497,0.2323427584497772,0.15257000082800287,5.70584414240838,7.05742921098047,2.93921489591893
10,2022-10-06 21:38:08.058330,0.22446940395021606,0.14605034747701845,5.537460865669675,6.778331205533643,2.8116550945779686
11,2022-10-06 21:53:11.864163,0.21655693900841766,0.144896945048857,5.583497098884223,6.493065788700471,2.6764169890210923
12,2022-10-06 22:08:15.669996,0.23349840832402333,0.14679026933387265,5.380887022723832,6.561575393265263,2.5444420331037243
13,2022-10-06 22:23:19.475829,0.20333038863569877,0.13251506072424862,5.326162620605997,6.429925127535499,2.408699078848162
14,2022-10-06 22:38:23.281662,0.2068861617485936,0.12990267288234167,5.347127895531567,6.944316929269813,2.275445427556892
15,2022-10-06 22:53:27.087495,0.2185290478506741,0.13637005778300146,5.330440357615986,6.797508793682972,2.142381345334464
16,2022-10-06 23:08:30.893328,0.20887919278803424,0.13167596683760685,5.494583955078755,6.837729107958405,2.016391922008487
17,2022-10-06 23:23:34.699161,0.18276689919906988,0.11840593215600605,5.313973529640314,6.53532120250733,1.8931474370360128
18,2022-10-06 23:38:38.504994,0.17812899926726525,0.11464968098498682,5.740605840915721,7.338483679518729,1.7817784949343185
19,2022-10-06 23:53:42.310827,0.14050429424509106,0.09389542812980672,5.822163303787548,7.549630588742091,1.683556715107702
20,2022-10-07 00:08:46.116660,0.14739009608535023,0.09102033693926698,5.6490288534052455,7.622869841734574,1.594833592949719
21,2022-10-07 00:23:49.922493,0.13737091239803867,0.0841476549060395,6.281022196671572,8.513100386147654,1.5191358065527605
22,2022-10-07 00:38:53.728326,0.10386995431761666,0.06475524286655908,5.987623309296281,7.8899297328119085,1.455685858260903
23,2022-10-07 00:53:57.534159,0.10817218054761167,0.06738110833341779,6.590624764891294,8.440626804581704,1.4079856066493521
24,2022-10-07 01:09:01.339992,0.11001224587426248,0.06836050725302643,7.357273646640336,9.935318222478568,1.367673168844391
25,2022-10-07 01:24:05.145825,0.11460865239966837,0.0740965751350761,7.542072927212953,9.437347982987486,1.3485264084320472
26,2022-10-07 01:39:08.951658,0.11009252865710221,0.0696389024057554,7.378322482170611,9.194089286567184,1.3393845975998047
27,2022-10-07 01:54:12.757491,0.10520820629255048,0.06525681930375236,7.476290259817772,9.099697189419857,1.344232204991207
28,2022-10-07 02:09:16.563324,0.10686826228713939,0.06580755464406393,6.950490635954208,9.257389544876377,1.373445083106904
29,2022-10-07 02:24:20.369157,0.11619884926223148,0.07436338150394929,6.340343452361388,7.995944583302559,1.4138263272483813
30,2022-10-07 02:39:24.174990,0.12303824866779531,0.07935078364903594,6.3759029858271195,8.246063072860002,1.460809328983066
31,2022-10-07 02:54:27.980823,0.13316926756808375,0.08273996180204493,5.775217568864655,7.532691038366497,1.523698003809254
32,2022-10-07 03:09:31.786656,0.15371377742701312,0.09688032223597945,6.110950180009434,7.796313985007996,1.5960051851070112
33,2022-10-07 03:24:35.592489,0.1608442071840575,0.1013107874811638,5.396309556904614,7.325075392775505,1.679957813365775
34,2022-10-07 03:39:39.398322,0.1715938142163191,0.11045944817126693,5.280827318161946,6.8564079825522635,1.7719678829597372
35,2022-10-07 03:54:43.204155,0.20062293343654866,0.13204428602073176,5.242116599692092,6.796345635167205,1.87770960125593
36,2022-10-07 04:09:47.009988,0.21247186156368422,0.13129773195058195,4.638709432471326,6.379617500894165,1.9903279403389416
37,2022-10-07 04:24:50.815821,0.2450627087478352,0.16199378919223156,5.083467727277331,5.992617662795372,2.104995895357743
38,2022-10-07 04:39:54.621654,0.25269821566316203,0.16492403582940757,4.816546991850758,6.160774287312625,2.2164657635384755
39,2022-10-07 04:54:58.427487,0.2681893162837847,0.176957569678165,4.971734261289387,6.245795769979958,2.3401002618433595
40,2022-10-07 05:10:02.233320,0.2620785056170516,0.17150264229374695,4.8232133780142314,5.956388996389936,2.4469952426584354
41,2022-10-07 05:25:06.039153,0.29593983131855517,0.18454669969466514,4.901535160858144,6.04538715876854,2.5551815012877097
42,2022-10-07 05:40:09.844986,0.27103830380284477,0.17796447810280924,5.135078565617454,6.451250186296197,2.6591302395704286
43,2022-10-07 05:55:13.650819,0.2702409537381064,0.17255877204951894,5.034744189428299,6.227847114329957,2.7564800338113957
44,2022-10-07 06:10:17.456652,0.2569971641993033,0.1761562210515048,5.1404878032592105,5.96429984813113,2.839011417082016
